"UMI_transID","UMI_cellID","target","x","y","z","tLLR_maxCellType","score_tLLR_maxCellType","DecVal","SVM_class","SVM_cell_type"
"t_1_1_100003","c_1_1_1314","RPL21",-245.079189453125,4784.60520263672,4,"c",-1.37957601504758,0.991101091592202,"1","c"
"t_1_1_100012","c_1_1_1314","HDAC3",-244.487004394531,4784.53201171875,4,"c",-2.1695113629014,0.986897298776638,"1","c"
"t_1_1_100029","c_1_1_1314","CD44",-246.380871582031,4784.30742919922,4,"c",-1.01734389369372,1.01809415415415,"1","c"
"t_1_1_100032","c_1_1_1314","EPHA2",-247.658010253906,4784.25302490234,4,"c",0,1.05853662733064,"1","c"
"t_1_1_100035","c_1_1_1314","CD44",-246.2455859375,4784.21641845703,4,"c",-1.01734389369372,1.00028212490479,"1","c"
"t_1_1_100050","c_1_1_1314","KRT6A",-248.919482421875,4783.97924560547,4,"c",0,1.06157838799147,"1","c"
"t_1_1_100063","c_1_1_1314","KRT16",-249.451989746094,4783.71596923828,4,"c",0,1.00000742801838,"1","c"
"t_1_1_100137","c_1_1_1314","HLA-B",-245.019270019531,4782.65785400391,4,"c",-1.64549428218454,1.00021487059769,"1","c"
"t_1_1_100429","c_1_1_3279","HLA-DPA1",-343.434281005859,4778.76082763672,4,"c",-2.51033102233978,-0.501543330385982,"1","c"
"t_1_1_100514","c_1_1_3279","HLA-C",-338.763992919922,4777.74397705078,4,"c",-1.57369943409431,-0.473513569280941,"1","c"
"t_1_1_100520","c_1_1_3279","CD74",-339.392004394531,4777.72200439453,4,"c",-3.68597250024444,0.181945825258882,"0","e"
"t_1_1_100550","c_1_1_3279","HSP90B1",-339.294797363281,4777.13878417969,4,"c",-2.56045212549432,0.184831648501687,"0","e"
"t_1_1_100606","c_1_1_3279","HLA-DRB1",-343.642999267578,4776.27299560547,4,"c",-0.988589464163136,-1.18719302343949,"1","c"
"t_1_1_100620","c_1_1_3279","COL1A2",-345.148400878906,4776.03,4,"c",-0.350744963356748,-1.00026354827822,"1","c"
"t_1_1_100719","c_1_1_3279","COL1A1",-346.565999755859,4774.68199951172,4,"c",-2.73121222674996,-0.695222542412918,"1","c"
"t_1_1_100754","c_1_1_3279","IFNGR2",-340.254200439453,4774.28578857422,4,"c",-0.533204229051941,-0.121619649477362,"1","c"
"t_1_1_100776","c_1_1_3279","B2M",-341.567000732422,4773.95400146484,4,"c",-1.18455981871269,-0.80414065279443,"1","c"
"t_1_1_100805","c_1_1_3279","CYTOR",-344.319504394531,4773.63153076172,4,"c",0,-0.999996599583926,"1","c"
"t_1_1_100814","c_1_1_3279","G6PD",-343.995495605469,4773.48974121094,4,"c",-2.95378541677837,-0.997320132535374,"1","c"
"t_1_1_100820","c_1_1_3279","GSN",-342.628400878906,4773.37495605469,4,"c",0,-1.06335960373348,"1","c"
"t_1_1_100851","c_1_1_3279","FN1",-339.575607910156,4772.89437011719,4,"c",-1.11711064555282,-1.09157226233411,"1","c"
"t_1_1_100916","c_1_1_3279","STAT1",-344.930860595703,4772.11372558594,4,"c",-1.39358374638075,-1.0004713617606,"1","c"
"t_1_1_100927","c_1_1_3279","PRF1",-345.110003662109,4771.93798828125,4,"c",-0.447447644604842,-0.999529093251301,"1","c"
"t_1_1_100950","c_1_1_3279","NFKB1",-341.452006835937,4771.63999511719,4,"c",-1.44458783598883,-0.530353300925748,"1","c"
"t_1_1_100973","c_1_1_3279","CD84",-342.499245605469,4771.25323242187,4,"c",-0.571369475664496,-1.12500235427038,"1","c"
"t_1_1_101011","c_1_1_3279","TYROBP",-342.65,4770.80228759766,4,"c",-0.25417644063033,-1.0000097907597,"1","c"
"t_1_1_10112","c_1_1_1232","THBS2",-200.772362,4814.00838,0.8,"c",0,1.10703777326066,"1","c"
"t_1_1_101123","c_1_1_1411","VIM",-236.18,4769.36101318359,4,"c",-2.62166211994622,-0.897348348348439,"1","c"
"t_1_1_101130","c_1_1_1411","BAX",-233.938217773438,4769.26033447266,4,"c",-0.156330497073644,-1.10129565435208,"1","c"
"t_1_1_101177","c_1_1_1411","KRT6A",-239.132004394531,4768.72198242187,4,"c",0,-1.00010238914508,"1","c"
"t_1_1_101189","c_1_1_1411","KRT5",-234.502387695312,4768.54200439453,4,"c",0,-1.19640957887283,"1","c"
"t_1_1_101223","c_1_1_1411","GSN",-236.626000976562,4768.07198730469,4,"c",0,-1.00007682555504,"1","c"
"t_1_1_101264","c_1_1_1411","CTNNB1",-234.053002929688,4767.60298095703,4,"c",-1.02753289735012,-1.1877683911437,"1","c"
"t_1_1_101297","c_1_1_1411","KRT5",-239.229211425781,4767.08400878906,4,"c",0,-0.999594840244574,"1","c"
"t_1_1_101301","c_1_1_1411","CRYAB",-235.332514648438,4767.04197509766,4,"c",-0.572815441139721,-1.1122529960729,"1","c"
"t_1_1_101319","c_1_1_1411","CRYAB",-235.37298828125,4766.87700439453,4,"c",-0.572815441139721,-1.02514135942832,"1","c"
"t_1_1_101330","c_1_1_1411","IFIT1",-237.224008789062,4766.71950439453,4,"c",-2.84340158242011,-1.03396817536292,"1","c"
"t_1_1_101354","c_1_1_1411","LGALS1",-238.105991210938,4766.4225,4,"c",-2.19804309456364,-0.896099707005042,"1","c"
"t_1_1_101357","c_1_1_1411","KRT17",-239.06,4766.38200439453,4,"c",0,-1.01981814261589,"1","c"
"t_1_1_101387","c_1_1_1411","S100B",-238.798986816406,4766.11798095703,4,"c",-1.2995623245137,-1.00456818449,"1","c"
"t_1_1_101428","c_1_1_1411","HLA-B",-236.601215820312,4765.68180175781,4,"c",-1.64549428218454,-0.999968532282373,"1","c"
"t_1_1_101430","c_1_1_3306","HLA-DRB1",-329.020405273438,4765.65657714844,4,"c",-0.988589464163136,1.00008899677419,"1","c"
"t_1_1_101436","c_1_1_1411","ITGB5",-243.881745605469,4765.60575439453,4,"c",0,-0.999876169419452,"1","c"
"t_1_1_101444","c_1_1_1411","CD63",-236.865986328125,4765.5319921875,4,"c",-1.82321344429864,-1.03998726834729,"1","c"
"t_1_1_101445","c_1_1_1411","HLA-C",-236.557995605469,4765.54950439453,4,"c",-1.57369943409431,-0.9731451850318,"1","c"
"t_1_1_101449","c_1_1_1411","FGFR3",-240.189086914062,4765.485234375,4,"c",0,-1.08757897365043,"1","c"
"t_1_1_101466","c_1_1_1411","CD63",-237.928562011719,4765.35087158203,4,"c",-1.82321344429864,-0.993950213505279,"1","c"
"t_1_1_101469","c_1_1_3306","H2AZ1",-329.134245605469,4765.2975,4,"c",-2.20970122844894,1.07851253214915,"1","c"
"t_1_1_101470","c_1_1_1411","CDKN1A",-241.172934570312,4765.33109619141,4,"c",-2.14424507052453,-0.995345585576507,"1","c"
"t_1_1_101472","c_1_1_1411","SLC2A1",-240.955141601562,4765.26856201172,4,"c",0,-1.00017011060955,"1","c"
"t_1_1_101477","c_1_1_3306","IGF1",-330.772999267578,4765.21499267578,4,"c",-0.381118540565939,1.05836174281444,"1","c"
"t_1_1_101489","c_1_1_3306","RAC1",-331.187601318359,4765.05720703125,4,"c",-0.683138361170835,1.00000094761898,"1","c"
"t_1_1_101499","c_1_1_1411","VIM",-237.070991210938,4765.00724121094,4,"c",-2.62166211994622,-1.028907222759,"1","c"
"t_1_1_101501","c_1_1_1411","HSP90B1",-236.213420410156,4764.94457519531,4,"c",-2.56045212549432,-0.870132417546749,"1","c"
"t_1_1_101504","c_1_1_3306","CD276",-327.727984619141,4764.93600585937,4,"c",-2.58052548626971,0.793648497359009,"1","c"
"t_1_1_101510","c_1_1_3306","GSN",-328.34720703125,4764.83040527344,4,"c",0,0.970859744450139,"1","c"
"t_1_1_101515","c_1_1_1411","IL17A",-236.031486816406,4764.83400878906,4,"c",-2.80037947078013,-0.844247616999116,"1","c"
"t_1_1_101524","c_1_1_3306","CD74",-328.149200439453,4764.65400878906,4,"c",-3.68597250024444,0.898362270178464,"1","c"
"t_1_1_101530","c_1_1_1411","HLA-A",-237.321721191406,4764.57684082031,4,"c",-1.28504834852552,-0.980526748793939,"1","c"
"t_1_1_101531","c_1_1_1411","HLA-A",-236.177407226562,4764.56912841797,4,"c",-1.28504834852552,-1.00035812607468,"1","c"
"t_1_1_101554","c_1_1_1411","IFNGR1",-241.575078125,4764.32182617187,4,"c",-0.996499448917866,-1.05064837859481,"1","c"
