"UMI_transID","UMI_cellID","target","CellId","pixel_x","pixel_y","idx_z","x","y","z","tLLR_maxCellType","score_tLLR_maxCellType","DecVal","SVM_class","SVM_cell_type"
"t_1_2_100287","c_1_2_2659","BAX",2659,1051.675,2453.05,4,270.3015,-3142.549,3.2,"e",0,0.999699488596714,"1","e"
"t_1_2_100294","c_1_2_2659","AXL",2659,1018.24,2454.62,4,264.2832,-3142.8316,3.2,"e",-3.28882997339848,0.857727114465229,"1","e"
"t_1_2_100327","c_1_2_2659","NEAT1",2659,1058.05,2461.025,4,271.449,-3143.9845,3.2,"e",-0.492345148800258,1.02094767986021,"1","e"
"t_1_2_100343","c_1_2_2659","EPHB2",2659,1015.487,2464.587,4,263.78766,-3144.62566,3.2,"e",-1.83948358077958,0.927511458975836,"1","e"
"t_1_2_100348","c_1_2_2659","HLA-A",2659,1057.814,2465.029,4,271.40652,-3144.70522,3.2,"e",-0.81524096451094,0.999860207921154,"1","e"
"t_1_2_100352","c_1_2_2659","RPL37",2659,1016.683,2465.933,4,264.00294,-3144.86794,3.2,"e",-0.877090810375356,0.999899719444136,"1","e"
"t_1_2_100367","c_1_2_2659","HLA-B",2659,1016.186,2470.8,4,263.91348,-3145.744,3.2,"e",-1.31591637617107,1.1367163535001,"1","e"
"t_1_2_100378","c_1_2_2659","MAPK14",2659,1007.6,2475.411,4,262.368,-3146.57398,3.2,"e",-2.93509222639274,0.683379025530017,"1","e"
"t_1_2_100387","c_1_2_2659","HLA-C",2659,1014.012,2477.062,4,263.52216,-3146.87116,3.2,"e",-1.19147033105972,0.953516156831417,"1","e"
"t_1_2_100412","c_1_2_2659","TNFRSF10B",2659,1026.943,2485.014,4,265.84974,-3148.30252,3.2,"e",-0.0649643928012091,1.00046395104509,"1","e"
"t_1_2_100413","c_1_2_2659","NEAT1",2659,1023.167,2485.156,4,265.17006,-3148.32808,3.2,"e",-0.492345148800258,0.996438041469705,"1","e"
"t_1_2_100415","c_1_2_2659","DUSP4",2659,1039.275,2485.425,4,268.0695,-3148.3765,3.2,"e",0,1.09651791687606,"1","e"
"t_1_2_100416","c_1_2_2659","MPO",2659,1025.137,2485.55,4,265.52466,-3148.399,3.2,"e",-2.0659407088077,1.00089892925516,"1","e"
"t_1_2_100422","c_1_2_2659","DUSP4",2659,1057.867,2488.033,4,271.41606,-3148.84594,3.2,"e",0,0.995420552440269,"1","e"
"t_1_2_100427","c_1_2_2659","S100A4",2659,1005.725,2489.975,4,262.0305,-3149.1955,3.2,"e",-0.255781672893349,0.999769217677327,"1","e"
"t_1_2_100429","c_1_2_2659","APOD",2659,1052.95,2490.633,4,270.531,-3149.31394,3.2,"e",-2.92621869946705,1.0090779197568,"1","e"
"t_1_2_100451","c_1_2_2659","RAC1",2659,1010.4,2497.3,4,262.872,-3150.514,3.2,"e",-0.785549409972158,1.08167273648197,"1","e"
"t_1_2_100465","c_1_2_2659","MST1R",2659,1008.071,2500.757,4,262.45278,-3151.13626,3.2,"e",-0.929819647017158,0.967234264725057,"1","e"
"t_1_2_100466","c_1_2_2659","CCND1",2659,1057.938,2500.812,4,271.42884,-3151.14616,3.2,"e",-3.10608853174243,0.798435319362128,"1","e"
"t_1_2_100469","c_1_2_2733","BST2",2733,859.2856,2501.743,4,235.671408,-3151.31374,3.2,"e",-0.319726931008764,0.698155282315093,"1","e"
"t_1_2_100470","c_1_2_2659","DDR1",2659,1023.15,2502.15,4,265.167,-3151.387,3.2,"e",0,1.00476538208267,"1","e"
"t_1_2_100471","c_1_2_2659","RPL32",2659,1011.35,2502.688,4,263.043,-3151.48384,3.2,"e",0,1.08612809650585,"1","e"
"t_1_2_100491","c_1_2_2659","MT2A",2659,1046.133,2507.233,4,269.30394,-3152.30194,3.2,"e",-0.988192187430357,1.05276286408077,"1","e"
"t_1_2_100497","c_1_2_2659","S100A9",2659,1022.575,2508.025,4,265.0635,-3152.4445,3.2,"e",-2.69766702933783,0.864610543598515,"1","e"
"t_1_2_100505","c_1_2_2659","HLA-A",2659,1011.66,2510.44,4,263.0988,-3152.8792,3.2,"e",-0.81524096451094,1.00007408921209,"1","e"
"t_1_2_100517","c_1_2_2659","B2M",2659,1038.488,2513.962,4,267.92784,-3153.51316,3.2,"e",-0.760298361278963,0.999969815807745,"1","e"
"t_1_2_100552","c_1_2_2659","GADD45B",2659,1015.925,2522.925,4,263.8665,-3155.1265,3.2,"e",-0.615141668547014,0.877818176057258,"1","e"
"t_1_2_100571","c_1_2_2733","AHR",2733,763.05,2529.35,4,218.349,-3156.283,3.2,"e",-0.358614258900862,0.572635210394076,"1","e"
"t_1_2_100572","c_1_2_2659","S100A10",2659,1029.925,2529.325,4,266.3865,-3156.2785,3.2,"e",-1.11002422070301,1.00043057160593,"1","e"
"t_1_2_100575","c_1_2_2733","HLA-A",2733,826.08,2531.22,4,229.6944,-3156.6196,3.2,"e",-0.81524096451094,0.999928656121803,"1","e"
"t_1_2_100591","c_1_2_2733","IGFBP7",2733,853.7444,2535.311,4,234.673992,-3157.35598,3.2,"e",-2.26307157008211,0.888229705028356,"1","e"
"t_1_2_100607","c_1_2_2733","HLA-A",2733,869.0599,2539.02,4,237.430782,-3158.0236,3.2,"e",-0.81524096451094,0.962649670767822,"1","e"
"t_1_2_100620","c_1_2_2733","DDC",2733,788.3199,2544.38,4,222.897582,-3158.9884,3.2,"e",-4.88995318948122,0.75145659879504,"1","e"
"t_1_2_100624","c_1_2_2733","S100A6",2733,870.0601,2545.06,4,237.610818,-3159.1108,3.2,"e",-2.21418061794464,0.874498347396215,"1","e"
"t_1_2_100675","c_1_2_2733","OAS3",2733,845.6,2558.511,4,233.208,-3161.53198,3.2,"e",-1.95820464596231,0.769326831414813,"1","e"
"t_1_2_100706","c_1_2_2733","EIF5A",2733,846.3,2565.35,4,233.334,-3162.763,3.2,"e",-2.43542959324565,0.384662757003218,"1","e"
"t_1_2_100785","c_1_2_2733","HLA-A",2733,828.9333,2584.683,4,230.207994,-3166.24294,3.2,"e",-0.81524096451094,0.99990519374788,"1","e"
"t_1_2_100807","c_1_2_2733","MMP14",2733,832.9,2592.033,4,230.922,-3167.56594,3.2,"e",-2.77168522255995,0.950317511005097,"1","e"
"t_1_2_100809","c_1_2_2733","LGALS3",2733,824.4286,2592.443,4,229.397148,-3167.63974,3.2,"e",-0.133872654578574,1.1688190172561,"1","e"
"t_1_2_100815","c_1_2_2733","RPL22",2733,812.9,2594.183,4,227.322,-3167.95294,3.2,"e",-0.723261368824319,1.10720551210793,"1","e"
"t_1_2_100842","c_1_2_2733","HLA-C",2733,826.9571,2599.843,4,229.852278,-3168.97174,3.2,"e",-1.19147033105972,1.00032515288511,"1","e"
"t_1_2_100905","c_1_2_2733","TIMP1",2733,840.8571,2613.371,4,232.354278,-3171.40678,3.2,"e",-1.02493281677908,0.895383123396951,"1","e"
"t_1_2_100956","c_1_2_2733","CTNNB1",2733,829.5428,2622.385,4,230.317704,-3173.0293,3.2,"e",-0.679510253451087,0.999661717590215,"1","e"
"t_1_2_100964","c_1_2_2733","B2M",2733,836.34,2623.18,4,231.5412,-3173.1724,3.2,"e",-0.760298361278963,0.999908518293302,"1","e"
"t_1_2_114890","c_1_2_2659","APOD",2659,1025.942,2448.075,4,265.66956,-3141.6535,3.2,"e",-2.92621869946705,0.211358408444817,"1","e"
"t_1_2_114918","c_1_2_2659","B2M",2659,1023.886,2451.043,4,265.29948,-3142.18774,3.2,"e",-0.760298361278963,0.863953578086754,"1","e"
"t_1_2_115024","c_1_2_2659","S100A6",2659,1051.56,2458.98,4,270.2808,-3143.6164,3.2,"e",-2.21418061794464,0.998359694957623,"1","e"
"t_1_2_115098","c_1_2_2659","FASN",2659,1048.629,2465.443,4,269.75322,-3144.77974,3.2,"e",-0.995481820411855,1.04773625125571,"1","e"
"t_1_2_115105","c_1_2_2659","CD74",2659,1006.171,2466.057,4,262.11078,-3144.89026,3.2,"e",-3.63246071656441,0.844745038706941,"1","e"
"t_1_2_115108","c_1_2_2659","HLA-A",2659,1041.22,2466.34,4,268.4196,-3144.9412,3.2,"e",-0.81524096451094,1.0122221214518,"1","e"
"t_1_2_115155","c_1_2_2659","GPNMB",2659,1047.717,2470.6,4,269.58906,-3145.708,3.2,"e",-1.13795284053725,1.07325965953315,"1","e"
"t_1_2_115177","c_1_2_2659","S100A6",2659,1038.186,2472.214,4,267.87348,-3145.99852,3.2,"e",-2.21418061794464,0.877376213896171,"1","e"
"t_1_2_115200","c_1_2_2659","HLA-A",2659,1040.814,2475.3,4,268.34652,-3146.554,3.2,"e",-0.81524096451094,1.00035429791412,"1","e"
